"wine_key","display_name","producer_key","group","varietal","region","vintage","format","is_red","body","sweetness","acidity","fourth","tasting_note","note_es","source_url","status"
"pine ridge chenin blanc + viognier","Pine Ridge Chenin Blanc + Viognier","pine ridge","white","","Napa, CA","'24","","FALSE","3","2","4","1","A cult California blend of mostly Chenin Blanc with a splash of Viognier, all steel. Honeysuckle, white peach, and citrus with a touch of ginger spice, lightly off-dry but kept crisp and lively.","","https://www.pineridgevineyards.com/wine/chenin-blanc-viognier/","sourced"
"m. chapoutier belleruche blanc","M. Chapoutier Belleruche Blanc","m. chapoutier","white","","Côtes du Rhône, France","'24","","FALSE","3","1","3","1","A rounded southern Rhône white from Grenache Blanc, Roussanne, and Viognier. Apricot, white flowers, and peach with a hint of fennel and almond, fresh and supple over a stony, mineral finish.","","https://www.foliowine.com/wine/m-chapoutier-belleruche-blanc/","sourced"
"bernardus sauvignon blanc","Bernardus Sauvignon Blanc","bernardus","white","","Arroyo Seco, CA","'23","","FALSE","2","1","5","1","From the cobbled riverbeds of Arroyo Seco in Monterey, a crisp, Loire-leaning Sauvignon Blanc. Grapefruit, gooseberry, and lime with a snap of fresh herbs and a stony, almost saline minerality on a bright, dry finish.","","https://www.wineenthusiast.com/buying-guide/bernardus-2023-griva-vineyard-sauvignon-blanc-arroyo-seco/","sourced"
"seghesio chardonnay","Seghesio Chardonnay","seghesio","white","","Monterey, CA","'23","","FALSE","4","1","3","2","A California Chardonnay from the historic Seghesio family, with a small splash of estate Vermentino for lift. Lemon curd, pear, and white peach with just a kiss of oak, creamy in the middle but kept fresh by bright acidity. NOTE: tri-county blend (Sonoma/Monterey/SLO), about 95% Chardonnay with 5% estate Vermentino; menu lists Monterey only.","","https://www.seghesio.com/wine/seghesio-chardonnay/","sourced"
"trefethen chardonnay","Trefethen Chardonnay","trefethen","white","","Oak Knoll, Napa, CA","'23","","FALSE","4","1","4","3","From the cool Oak Knoll district, an estate-grown Chardonnay known for elegance and bright acidity. Apple, pear, and citrus with a light floral lift and just a frame of toasted oak, barrel-fermented but restrained and notably fresh.","","https://www.wine.com/product/trefethen-estate-chardonnay-2022/1982464","sourced"
"zaca mesa ""cushion block"" viognier","Zaca Mesa ""Cushion Block"" Viognier","zaca mesa","white","","Santa Ynez Valley, CA","'21","","FALSE","3","1","3","1","An estate Viognier from a Santa Ynez Rhône pioneer, with vines planted in 1997. White flowers, nectarine, and orange blossom with peach and honeysuckle, medium-bodied and aromatic but kept dry and refreshing by lively acidity. NOTE: menu prints 'Cushion Block'; producer labels this bottling 'Cushman Block'.","","https://www.zacamesa.com/wp-content/uploads/2021/04/Viognier-Server-Card_2021-Digital.pdf","sourced"
"neyers chardonnay","Neyers Chardonnay","neyers","white","","Carneros District, Sonoma, CA","'21","","FALSE","5","1","3","5","A rich, Burgundian-style Carneros Chardonnay, barrel-fermented in French oak with wild yeast and full malolactic. Golden apple, pear, and citrus layered with hazelnut, butterscotch, and toasted oak, lush and full yet carried by bright acidity.","","https://www.wine.com/product/neyers-carneros-chardonnay-2021/2187871","sourced"
"tornatore etna bianco carricante","Tornatore Etna Bianco Carricante","tornatore","white","","Sicily, Italy","'23","","FALSE","2","1","5","1","A volcanic Carricante grown high on Mount Etna and raised in concrete, never oak. White peach, Meyer lemon, and pear with white flowers and a striking saline, stony minerality, taut and bright through a long, savory finish.","","https://www.wine.com/product/tornatore-etna-bianco-2018/535033","sourced"
"livio felluga pinot grigio","Livio Felluga Pinot Grigio","livio felluga","white","","Italy","'22","","FALSE","3","1","4","1","A benchmark Friulian Pinot Grigio from the marl hills of Colli Orientali, rested on its lees for depth. White peach, pear, and melon with floral and savory notes, fuller and more complex than most, fresh and mineral on a long finish.","","https://mmdusa.net/portfolio/livio-felluga/pinot-grigio-doc","sourced"
"flowers chardonnay","Flowers Chardonnay","flowers","white","","Sonoma, CA","'23","","FALSE","3","1","4","3","A cool, coastal Sonoma Chardonnay in a restrained, Burgundian style, barrel-fermented with a light touch of new oak. Lemon, green apple, and white flowers over a saline, chalky minerality, medium-bodied with firm, linear acidity.","","https://www.wine.com/product/flowers-sonoma-coast-chardonnay-2023/2121706","sourced"
"rochioli sauvignon blanc","Rochioli Sauvignon Blanc","rochioli","white","","Russian River, Sonoma, CA","'25","","FALSE","3","1","5","1","From old Russian River vines first planted in 1959, a benchmark California Sauvignon Blanc, mostly steel-fermented. Grapefruit, passion fruit, and melon with gooseberry and a chalky minerality, rich yet racy with a long, mouthwatering finish.","","https://www.wine.com/product/rochioli-estate-sauvignon-blanc-2020/775610","sourced"
"dow vale do bomfim","Dow Vale do Bomfim","dow","red","Touriga Nacional + Tinta Roriz + Touriga Franca","Portugal","'20","","TRUE","4","1","3","3","A dry Douro red from the Symington family behind Dow's Port, built on the great Port grapes led by Touriga Nacional and aged briefly in oak. Blackberry and blackcurrant with licorice, pepper, and spice, full and dry with firm but approachable tannins and balancing acidity.","","https://www.reversewinesnob.com/vale-do-bomfim-douro-red/","sourced"
"venta morales tempranillo","Venta Morales Tempranillo","venta morales","red","","Spain","'23","","TRUE","3","1","4","3","An unoaked, organically farmed Tempranillo from the high plains of La Mancha, fermented in steel to keep the fruit fresh. Cherry, raspberry, and plum with floral and spice notes, lively and medium-bodied with marked but easy tannins and bright acidity.","","https://www.wine.com/product/bodegas-volver-venta-morales-organic-tempranillo-2022/1774818","sourced"
"llama malbec","Llama Malbec","llama","red","","Argentina","'22","","TRUE","4","1","3","3","An old-vine Malbec from Agrelo in Luján de Cuyo, high in the Andes foothills, with a light touch of oak. Cherry, blackberry, and plum with violet and a toasty hint, warm and rounded with a creamy texture and supple, well-built tannins.","","https://www.wine.com/product/belasco-de-baquedano-llama-old-vine-malbec-2022/2437076","sourced"
"les abeilles côtes du rhône","Les Abeilles Côtes du Rhône","les abeilles","red","Grenache + Syrah + Mourvèdre","France","'23","","TRUE","3","1","3","2","A classic southern Rhône GSM blend (Grenache, Syrah, Mourvèdre), largely unoaked to keep the fruit bright. Juicy blackberry, raspberry, and cherry with violet, licorice, and a touch of garrigue, medium-bodied, fresh, and silky with soft tannins. NOTE: the widely sold 'Les Abeilles' Côtes du Rhône is Jean-Luc Colombo's GSM; menu source attribution referenced J. Boutin, so confirm producer.","","https://www.wine.com/product/jean-luc-colombo-cotes-du-rhone-les-abeilles-2022/3425813","sourced"
"seghesio family vineyards zinfandel","Seghesio Family Vineyards Zinfandel","seghesio","red","","Healdsburg, Sonoma, CA","'23","","TRUE","4","1","3","3","The benchmark Sonoma County Zinfandel from a family growing the grape since 1895. Black raspberry, plum, and blackberry with black pepper, anise, and sweet spice over a frame of oak, bold and richly fruited yet balanced, with supple, dusty tannins and a dry finish.","","https://www.seghesio.com/wine/sonoma-zinfandel/","sourced"
"blackboard by matthews cabernet","Blackboard by Matthews Cabernet","blackboard","red","","Columbia Valley, WA","'21","","TRUE","4","1","3","3","A Columbia Valley Cabernet from Matthews of Woodinville, rounded out with Merlot and a touch of new oak. Blackberry, black currant, and plum with cocoa, vanilla, and sweet spice, full-bodied and polished with supple, well-integrated tannins.","","https://www.wine.com/product/matthews-winery-blackboard-cabernet-sauvignon-2020/1526547","sourced"
"château rocher-calon saint-émilion","Château Rocher-Calon Saint-Émilion","chateau rocher-calon","red","Merlot","Bordeaux, France","'21","","TRUE","4","1","3","3","A Merlot-dominant right-bank Bordeaux from Montagne-Saint-Émilion, raised in vat to keep the fruit pure. Blackberry, cherry, and cassis with cedar, tobacco, and a touch of chocolate, full-bodied and savory with ripe, velvety tannins and a fresh finish.","","https://www.farehamwinecellar.co.uk/product/chateau-rocher-calon-montagne-st-emilion/","sourced"
"j vineyards pinot noir","J Vineyards Pinot Noir","j vineyards","red","","Sonoma, CA","'22","","TRUE","3","1","3","2","A classic Russian River Valley Pinot Noir, smooth and fruit-forward with just a touch of oak. Cherry, raspberry, and cranberry with cola, rose petal, and a hint of clove, bright and silky with round, soft tannins.","","https://www.jwine.com/product/2022-russian-river-valley-pinot-noir/","sourced"
"sense of place pinot noir","Sense of Place Pinot Noir","sense of place","red","","Coastal Cuvée, Monterey, CA","'24","","TRUE","2","1","4","2","A small-lot, terroir-driven Pinot Noir from the cool Monterey coast. Red cherry, pomegranate, and cranberry with floral, orange-peel, and dried-herb notes, light-bodied and bright with fine, gently firm tannins.","","https://www.wineenthusiast.com/buying-guide/sense-of-place-2015-coastal-cuvee-pinot-noir-monterey-county/","sourced"
"tornatore etna rosso","Tornatore Etna Rosso","tornatore","red","Nerello Mascalese + Nerello Cappuccio","Sicily, Italy","'22","","TRUE","2","1","4","3","A volcanic Sicilian red from Nerello Mascalese grown high on Mount Etna, raised in concrete and large oak. Red cherry, strawberry, and raspberry with Mediterranean herbs, white pepper, and a stony minerality, light-bodied and elegant with bright acidity and fine, gently grippy tannins.","","https://www.npwines.com/products/tornatore-etna-rosso-doc","sourced"
"cotière pinot noir","Cotière Pinot Noir","cotiere","red","","Santa Barbara, CA","'23","","TRUE","2","1","4","2","A small-lot, cool-climate Pinot Noir from Santa Barbara County, light in color and built for finesse. Cranberry, pomegranate, and red cherry with cola, dried herbs, and a floral, spicy lift, light-bodied and energetic with bright acidity and fine, gentle tannins.","","https://www.wineenthusiast.com/buying-guide/cotiere-2022-pinot-noir-santa-maria-valley/","sourced"
"michele satta super tuscan","Michele Satta Super Tuscan","michele satta","red","Sangiovese","Tuscany, Italy","'23","","TRUE","4","1","3","3","A coastal Tuscan red from Bolgheri, led by Sangiovese and Cabernet with Merlot and Syrah. Red and black cherry, currant, and raspberry with leather, tobacco, and spice, medium to full-bodied and harmonious with fresh acidity and supple tannins. NOTE: this is a multi-grape Bolgheri Rosso (roughly 30% Sangiovese, 30% Cabernet, plus Merlot and Syrah), not a Sangiovese varietal.","","https://www.wine.com/product/michele-satta-bolgheri-rosso-2021/1301830","sourced"
"leviathan cabernet blend","Leviathan Cabernet Blend","leviathan","red","","California","'22","","TRUE","5","1","3","4","A bold California red blend from acclaimed winemaker Andy Erickson, built on mountain Cabernet Sauvignon with Syrah, Merlot, and Cabernet Franc. Blackberry, cassis, and dark cherry with chocolate, leather, and savory spice, full-bodied and plush with ripe, fine-grained tannins.","","https://www.wine.com/product/leviathan-2022/2436409","sourced"
"cristia châteauneuf-du-pape","Cristia Châteauneuf-du-Pape","cristia","red","Grenache + Syrah","France","'23","","TRUE","4","1","3","3","A classic Châteauneuf-du-Pape built on old-vine Grenache with Syrah and Mourvèdre, organically farmed. Black cherry, blackberry, and fig with garrigue, pepper, and sweet spice, full-bodied and rich yet elegant, with ripe, plush tannins and good acidity.","","https://nyc.flatiron-wines.com/products/domaine-de-cristia-chateauneuf-du-pape-classic-2022-750ml","sourced"
"louis latour pinot noir","Louis Latour Pinot Noir","louis latour","red","","Burgundy, France","'22","","TRUE","2","1","4","2","A classic regional red Burgundy from a venerable Beaune house, light and food-friendly with judicious oak. Cherry, raspberry, and red currant with forest floor, mushroom, and a touch of spice, light-bodied and silky with brisk acidity and gentle tannins.","","https://www.louislatour.com/pdf/en/bourgogne-pinot-noir-105.pdf","sourced"
"jordan cabernet sauvignon","Jordan Cabernet Sauvignon","jordan","red","","Sonoma, CA","'20","","TRUE","4","1","3","4","An elegant, Bordeaux-styled Alexander Valley Cabernet, aged in French oak with the fruit and acidity kept front and center. Black cherry, cassis, and blackberry with graphite, cedar, and dried herbs, medium to full-bodied and polished with fine-grained, silky tannins.","","https://www.wine.com/product/jordan-cabernet-sauvignon-2019/1543738","sourced"
"robert hall cabernet sauvignon","Robert Hall Cabernet Sauvignon","robert hall","red","","Paso Robles, CA","","","TRUE","4","1","3","3","A bold, ripe Paso Robles Cabernet with plush dark fruit and moderate oak. Black currant, blackberry, and dark cherry with cedar, cocoa, and sweet spice, full-bodied and flavorful with balanced, velvety tannins and a long finish.","","https://www.roberthallwinery.com/product/2022-Cabernet-Sauviginon","sourced"
"clos du val sauvignon blanc","Clos du Val Sauvignon Blanc","clos du val","half","","Napa Valley, CA","'24","375 ml","FALSE","","","","","","","","todo"
"markham merlot","Markham Merlot","markham","half","","Napa Valley, CA","'20","375 ml","FALSE","","","","","","","","todo"
"j. lohr cabernet","J. Lohr Cabernet","j. lohr","half","","Hilltop Vineyard, Monterey, CA","'22","375 ml","FALSE","","","","","","","","todo"
"domaine vocoret & fils chablis","Domaine Vocoret & Fils Chablis","domaine vocoret","half","","France","'21","375 ml","FALSE","","","","","","","","todo"
"bernardus pinot noir","Bernardus Pinot Noir","bernardus","half","","Santa Lucia Highlands, Monterey, CA","'22","375 ml","FALSE","","","","","","","","todo"
"domaine du vieux lazaret châteauneuf-du-pape","Domaine du Vieux Lazaret Châteauneuf-du-Pape","domaine du vieux lazaret","half","Grenache blend","France","'22","375 ml","FALSE","","","","","","","","todo"
"felsina chianti classico riserva","Felsina Chianti Classico Riserva","felsina","half","Sangiovese","Italy","'21","375 ml","FALSE","","","","","","","","todo"
"château paveil de luze margaux","Château Paveil de Luze Margaux","chateau paveil de luze","half","Cabernet + Merlot","Bordeaux, France","'18","375 ml","FALSE","","","","","","","","todo"
"bernardus cabernet sauvignon","Bernardus Cabernet Sauvignon","bernardus","large","","Monterey, CA","'19","1.5 L Magnum","FALSE","","","","","","","","todo"
"orma toscana","Orma Toscana","orma","large","","Italy","'16","1.5 L Magnum","FALSE","","","","","","","","todo"
"yalumba ""antique"" muscat","Yalumba ""Antique"" Muscat","yalumba","dessert","","Australia","","","FALSE","","","","","","","","todo"
"graham's tawny port","Graham's Tawny Port","graham's","dessert","","10 Year","","","FALSE","","","","","","","","todo"
"dow's reserve tawny port","Dow's Reserve Tawny Port","dow's","dessert","","Portugal","","","FALSE","","","","","","","","todo"
"sandeman founders reserve ruby port","Sandeman Founders Reserve Ruby Port","sandeman","dessert","","Portugal","","","FALSE","","","","","","","","todo"
"heinz eifel beerenauslese","Heinz Eifel Beerenauslese","heinz eifel","dessert","Late Harvest Riesling","Germany","'18","","FALSE","","","","","","","","todo"
"toro albalá ""don px"" sherry","Toro Albalá ""Don PX"" Sherry","toro albala","dessert","","Pedro Ximénez","'99","","FALSE","5","5","3","2","Legendary Montilla Pedro Ximénez, sun-dried to a near-black, syrupy intensity. Fig, date, raisin, molasses, and coffee, almost a dessert in itself, with just enough acidity to keep it from cloying.","","","estimate"
"normandin-mercier pineau des charentes blanc","Normandin-Mercier Pineau des Charentes Blanc","normandin-mercier","dessert","","France","","","FALSE","","","","","","","","todo"
"normandin-mercier pineau des charentes rouge","Normandin-Mercier Pineau des Charentes Rouge","normandin-mercier","dessert","","France","","","FALSE","","","","","","","","todo"
"blandy's malmsey madeira","Blandy's Malmsey Madeira","blandy's","dessert","","10 Year Old","","","FALSE","","","","","","","","todo"
